TaxonName,RBL,IUCN,Percent_vert,Percent_nonvert,Diet,Diet_diversity,Body_size,Diet_breadth,Museum_Pub,N,Notes,Invert,Scav,Fruit,Nect,Seed,Plant,Vert,Diet_old,Diet_vert
Ictonyx_striatus,0.6458003,LC,60,40,meso,2,1299.99,,Ely2019,20,Used Ely 2019 b/c biggest sample size,1,0,0,0,0,0,1,Meso,meso
Taxidea_taxus,0.6472856,LC,90,10,hyper,2,7107.55,,Ely2019,15,Used Ely 2019 b/c biggest sample size,1,0,0,0,0,0,1,Hyper,hyper
Nandinia_binotata,0.649,LC,10,90,hypo,3,2000,,Slater&Friscia2019,U,,1,0,1,0,0,0,1,Hyper,hypo
Genetta_thierryi,0.6503781,LC,90,10,hyper,2,1400.01,,Slater&Friscia2019,U,,1,0,0,0,0,0,1,Hyper,hyper
Poiana_richardsonii,0.652,LC,20,80,hypo,4,500,,Friscia2007,1,,1,0,0,0,1,1,1,Omn,hypo
Herpestes_auropunctatus,0.65217391,LC,60,40,meso,0,750,,"Nellis, D.W. (1989). Herpestes auropunctatus. Mammalian Species. 342: 1-6.",1,measured from image in manuscript,,,,,,,,Meso,meso
Melogale_orientalis,0.653307138,LC,30,70,hypo,3,2000,,Ely2019,7,mean,1,0,1,0,0,0,1,Omn,hypo
Vulpes_zerda,0.655,LC,50,50,meso,3,1100,,Friscia2007,8,,1,0,0,0,0,1,1,Omn,meso
Galidia_elegans,0.656,LC,80,20,hyper,3,800,,Friscia2007,11,Used Friscia 2007 b/c biggest sample size,1,0,1,0,0,0,1,Meso,hypo
Vulpes_pallida,0.656,LC,80,20,hyper,2,2800.01,,Friscia2007,10,,0,0,0,0,0,1,1,Meso,hyper
Spilogale_gracilis,0.65625131,LC,40,60,hypo,3,466.5,,Ely2019,4,mean,1,0,0,0,0,1,1,Omn,meso
Galidictis_grandidieri,0.657,EN,70,30,meso,2,1400,,Taylor2016,1,,1,0,0,0,0,0,1,Meso,hyper
Vormela_peregusna,0.6576969,VU,100,0,hyper,1,450.38,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Mustela_felipei,0.6597353,VU,100,0,hyper,1,211.3,,Slater&Friscia2019,U,,0,0,0,0,0,0,1,Hyper,hyper
Nasua_nasua,0.66,LC,20,80,hypo,3,3793.85,,VV1989,2,,1,0,1,0,0,0,1,Omn,hypo
Canis_adustus,0.66,LC,50,50,meso,4,10249.91,,VV1989,2,,1,1,0,0,0,1,1,Omn,meso
